1 1.0 1.0 0.0 0.0 2.718281828459045 2.0 1.0 1.0
2 2.0 4.0 0.6931471805599453 1.3862943611198906 7.38905609893065 4.0 2.0 4.0
10 10.0 100.0 2.302585092994046 23.02585092994046 22026.465794806718 1024.0 3628800.0 1.0E10
20 20.0 400.0 2.995732273553991 59.914645471079815 4.851651954097903E8 1048576.0 2.43290200817664E18 1.048576E26
30 30.0 900.0 3.4011973816621555 102.03592144986466 1.0686474581524463E13 1.073741824E9 2.6525285981219103E32 2.05891132094649E44
40 40.0 1600.0 3.6888794541139363 147.55517816455745 2.3538526683702E17 1.099511627776E12 8.159152832478977E47 1.2089258196146292E64
50 50.0 2500.0 3.912023005428146 195.6011502714073 5.184705528587072E21 1.125899906842624E15 3.0414093201713376E64 8.881784197001252E84
100 100.0 10000.0 4.605170185988092 460.51701859880916 2.6881171418161356E43 1.2676506002282294E30 9.33262154439441E157 1.0E200
150 150.0 22500.0 5.0106352940962555 751.5952941144383 1.3937095806663797E65 1.4272476927059599E45 5.7133839564458505E262 Infinity
200 200.0 40000.0 5.298317366548036 1059.6634733096073 7.225973768125749E86 1.6069380442589903E60 Infinity Infinity
300 300.0 90000.0 5.703782474656201 1711.1347423968602 1.9424263952412558E130 2.037035976334486E90 Infinity Infinity
400 400.0 160000.0 5.991464547107982 2396.5858188431926 5.221469689764144E173 2.5822498780869086E120 Infinity Infinity
500 500.0 250000.0 6.214608098422191 3107.304049211096 1.4035922178528375E217 3.273390607896142E150 Infinity Infinity
1000 1000.0 1000000.0 6.907755278982137 6907.755278982137 Infinity 1.0715086071862673E301 Infinity Infinity
1500 1500.0 2250000.0 7.313220387090301 10969.830580635453 Infinity Infinity Infinity Infinity
2000 2000.0 4000000.0 7.600902459542082 15201.804919084165 Infinity Infinity Infinity Infinity
5000 5000.0 2.5E7 8.517193191416238 42585.96595708119 Infinity Infinity Infinity Infinity
10000 10000.0 1.0E8 9.210340371976184 92103.40371976183 Infinity Infinity Infinity Infinity
25000 25000.0 6.25E8 10.126631103850338 253165.77759625844 Infinity Infinity Infinity Infinity
50000 50000.0 2.5E9 10.819778284410283 540988.9142205141 Infinity Infinity Infinity Infinity
75000 75000.0 5.625E9 11.225243392518447 841893.2544388835 Infinity Infinity Infinity Infinity
100000 100000.0 1.0E10 11.512925464970229 1151292.546497023 Infinity Infinity Infinity Infinity
250000 250000.0 6.25E10 12.429216196844383 3107304.0492110956 Infinity Infinity Infinity Infinity
500000 500000.0 2.5E11 13.122363377404328 6561181.688702164 Infinity Infinity Infinity Infinity
